counter_Bits,new_bits,gcc_miss_rate,jpeg_miss_Rate,perl_miss_rate
7,2,27.81,8.41,21.28
7,4,28.95,8.65,24.78
7,6,31.1,9.49,28.72
8,2,23.56,8.04,17.47
8,4,24.96,8.2,19
8,6,27.53,8.82,22.63
8,8,29.53,9.07,23.39
9,2,19.94,7.94,14.58
9,4,20.84,8.04,16.11
9,6,23.47,8.46,18.19
9,8,25.49,8.32,17.69
10,2,16.95,7.87,11.52
10,4,18,7.97,13.19
10,6,19.88,8.37,13.78
10,8,21.22,8.05,12.64
10,10,22.55,7.98,13.66
11,2,14.46,7.45,9.11
11,4,15.05,7.62,11.03
11,6,17.06,7.9,12.03
11,8,17.75,7.5,9.29
11,10,18.83,7.47,8.91
12,2,12.53,7.43,8.83
12,4,13.4,7.6,9.42
12,6,14.47,7.84,10
12,8,15.16,7.28,6.97
12,10,15.69,7.3,6.42
12,12,16.28,7.35,6.88
